Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\FiniteElementSimple.csproj,,,OpenTK 3.1.0,,,,,"OpenTK, 3.1.0  Recommendation:  OpenTK, 4.9.4"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\FiniteElementSimple.csproj,,,OpenTK.GLControl 3.1.0,,,,,"OpenTK.GLControl, 3.1.0  Recommendation:  OpenTK.GLControl, 4.0.2"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\FiniteElementSimple.csproj,,,ScottPlot.WinForms 5.1.59,,,,,"ScottPlot.WinForms, 5.1.59  Recommendation:  ScottPlot.WinForms, 4.1.73"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\FiniteElementSimple.csproj,,,SkiaSharp.Views.WindowsForms 3.119.0,,,,,"SkiaSharp.Views.WindowsForms, 3.119.0  Recommendation:  SkiaSharp.Views.WindowsForms, 2.88.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\FiniteElementSimple.csproj,,,System.Buffers 4.5.1,,,,,"System.Buffers, 4.5.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\FiniteElementSimple.csproj,,,System.Memory 4.5.5,,,,,"System.Memory, 4.5.5  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\FiniteElementSimple.csproj,,,System.Numerics.Vectors 4.5.0,,,,,"System.Numerics.Vectors, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\FiniteElementSimple.csproj,,,System.Runtime.CompilerServices.Unsafe 4.5.3,,,,,"System.Runtime.CompilerServices.Unsafe, 4.5.3  Recommendation:  Remove System.Runtime.CompilerServices.Unsafe, and replace with new package System.Runtime.CompilerServices.Unsafe 6.1.2"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\FiniteElementSimple.csproj,,,System.ValueTuple 4.6.1,,,,,"System.ValueTuple, 4.6.1  Recommendation:  Package functionality included with new framework reference"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\FiniteElementSimple.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\FiniteElementSimple.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0-windows"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\Plotting\SinglePlotForm.cs,105,12,T:System.Windows.Forms.Control.ControlCollection,,,,,Controls.Add(fp);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\Plotting\SinglePlotForm.cs,105,12,P:System.Windows.Forms.Control.Controls,,,,,Controls.Add(fp);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\Plotting\SinglePlotForm.cs,105,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,Controls.Add(fp);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\Plotting\SinglePlotForm.cs,104,12,T:System.Windows.Forms.DockStyle,,,,,var fp = new FormsPlot { Dock = DockStyle.Fill };
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\Plotting\SinglePlotForm.cs,104,12,T:System.Windows.Forms.DockStyle,,,,,var fp = new FormsPlot { Dock = DockStyle.Fill };
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\Plotting\SinglePlotForm.cs,104,12,F:System.Windows.Forms.DockStyle.Fill,,,,,var fp = new FormsPlot { Dock = DockStyle.Fill };
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\Plotting\SinglePlotForm.cs,104,12,T:System.Windows.Forms.DockStyle,,,,,var fp = new FormsPlot { Dock = DockStyle.Fill };
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\Plotting\SinglePlotForm.cs,104,12,P:System.Windows.Forms.Control.Dock,,,,,var fp = new FormsPlot { Dock = DockStyle.Fill };
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\Plotting\SinglePlotForm.cs,103,12,P:System.Windows.Forms.Control.Height,,,,,Height = 600;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\Plotting\SinglePlotForm.cs,102,12,P:System.Windows.Forms.Control.Width,,,,,Width = 800;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\Plotting\SinglePlotForm.cs,101,12,P:System.Windows.Forms.Form.Text,,,,,Text = title;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,FiniteElementSimple\FiniteElementSimple.csproj,File,FiniteElementSimple\Plotting\SinglePlotForm.cs,48,8,M:System.Windows.Forms.Form.#ctor,,,,,"public SinglePlotForm(string title, double[] xData, double[] yData, double[] zData, Color[] colorScheme)          {              formsPlot = CreateFormsPlot(title);                formsPlot.Plot.Title(title);              formsPlot.Plot.XLabel(""x"");              formsPlot.Plot.YLabel(""y"");                double zMin = double.MaxValue, zMax = double.MinValue;              foreach (double z in zData) {                  if (z < zMin) zMin = z;                  if (z > zMax) zMax = z;              }              double range = (zMax - zMin == 0) ? 1 : zMax - zMin;              int nBins = colorScheme.Length;                var binX = new List<double>[nBins];              var binY = new List<double>[nBins];              for (int b = 0; b < nBins; b++) {                  binX[b] = new List<double>();                  binY[b] = new List<double>();              }                for (int i = 0; i < zData.Length; i++) {                  double t = (zData[i] - zMin) / range;                  int bin = Math.Min(nBins - 1, (int)(t * nBins));                  binX[bin].Add(xData[i]);                  binY[bin].Add(yData[i]);              }                for (int b = 0; b < nBins; b++) {                  if (binX[b].Count == 0) continue;                  var scatter = formsPlot.Plot.Add.Scatter(binX[b].ToArray(), binY[b].ToArray());                  scatter.LineWidth = 0;                  scatter.MarkerSize = 6;                  scatter.Color = new ScottPlot.Color(colorScheme[b].R, colorScheme[b].G, colorScheme[b].B);                  scatter.LegendText = string.Format(""{0:0.###} to {1:0.###}"", zMin + b * range / nBins, zMin + (b + 1) * range / nBins);              }                formsPlot.Plot.Legend.IsVisible = true;              formsPlot.Refresh();          }"
